"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-01","58","73","45"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-02","58","73","46"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-03","59","75","45"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-04","61","77","52"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-05","60","73","54"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-06","60","70","48"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-07","56","66","50"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-08","55","68","41"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-09","56","70","41"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-10","55","70","41"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-11","55","70",
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-12","52","66","41"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-13","54","68","39"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-14","55","72","41"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-15","54","72","39"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-16","55","73","39"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-17","56","73","41"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-18","56","61","48"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-19","57","72","41"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-20","60","75","39"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-21","58","75","48"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-22","60","77","46"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-23","63","79","52"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-24","61","70","55"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-25","59","64","54"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-26","63",,"50"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-27","61","73","50"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-28","62","75","41"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-29","62","77","48"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-30","65","79","50"
"IN023351400","LUCKNOW AMAUSI, IN","1981-01-31","65","75","52"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-01","59","72","52"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-03","65","73","43"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-04","65","77",
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-05","70","82","48"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-06","67","81",
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-07","61",,"48"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-08","58","72","45"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-09","60","73","43"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-10","59","73","45"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-11","59","73","45"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-12","63","79","45"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-13","65","81","46"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-14","66",,"50"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-15","69","84","52"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-16","70","86","55"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-17","67","82","52"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-18","65","82","48"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-19","64","81","48"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-20","66","82","48"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-21","68","84","50"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-22","67","84","50"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-23","68","86","48"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-24","71","90","54"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-25","74","91","55"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-26","72","88","55"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-27","71","86","55"
"IN023351400","LUCKNOW AMAUSI, IN","1981-02-28","70","82","59"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-01","72","88","57"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-02","70","86","55"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-03","64","82","48"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-04","66","84","52"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-05","70","86","52"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-06","74","88","57"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-07","74","88","63"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-08","73","88","57"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-09","71","86","59"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-10","72","88","57"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-11","75","90","63"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-12","67","84",
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-13","71","84","55"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-14","74","88","57"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-15","73","88","64"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-16","70","81",
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-17","73","84","59"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-18","72","86","55"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-19","70","84","59"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-20","72","86","63"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-21","74","88","59"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-22","76","91","61"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-23","75",,"57"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-24","74","90","57"
"IN023351400","LUCKNOW AMAUSI, IN","1981-03-25","73","91","57"
